id,full_name,age,gender,device_type,ad_position,Product_Category,color_name,hex_code,r,g,b,Mood,Season,Time_Spent_sec,click
670,User670,22.0,,Desktop,Top,Home_Decor,Stil de grain yellow,#FADA5E,250,218,94,Neutral,Summer,179,1
3044,User3044,,Male,Desktop,Top,Tech,Paolo Veronese green,#009B7D,0,155,125,Angry,Monsoon,201,1
5912,User5912,41.0,Non-Binary,,Side,Food,Yellow Sunshine,#FFF700,255,247,0,Happy,Summer,226,1
5418,User5418,34.0,Male,,,Fashion,Strawberry,#FC5A8D,252,90,141,Calm,Autumn,194,1
9452,User9452,39.0,Non-Binary,,,Food,Smoke,#738276,115,130,118,Neutral,Monsoon,132,0
5942,User5942,,Non-Binary,,Bottom,Fashion,Sand dune,#967117,150,113,23,Happy,Spring,50,1
7808,User7808,26.0,Female,Desktop,Top,Tech,Boysenberry,#873260,135,50,96,Angry,Summer,73,1
5065,User5065,40.0,Male,Mobile,Side,Home_Decor,Fuzzy Wuzzy,#CC6666,204,102,102,Calm,Monsoon,62,0
7993,User7993,,Non-Binary,Mobile,Bottom,Sports,Vivid auburn,#922724,146,39,36,Calm,Spring,220,1
4509,User4509,,,,Bottom,Fashion,Dark terra cotta,#CC4E5C,204,78,92,Calm,Winter,119,1
2595,User2595,,,,Bottom,Sports,Black leather jacket,#253529,37,53,41,Happy,Autumn,14,1
7466,User7466,47.0,,Mobile,Bottom,Tech,Steel blue,#4682B4,70,130,180,Happy,Autumn,273,1
8171,User8171,,Non-Binary,Mobile,Side,Tech,Pastel pink,#DEA5A4,222,165,164,Happy,Winter,296,0
2023,User2023,19.0,,Desktop,,Tech,Bright navy blue,#1974D2,25,116,210,Happy,Monsoon,90,1
973,User973,,,Mobile,,Home_Decor,Mughal green,#306030,48,96,48,Neutral,Winter,151,1
7529,User7529,,,,Top,Fashion,Deep champagne,#FAD6A5,250,214,165,Sad,Spring,122,0
8127,User8127,,Male,Tablet,Bottom,Sports,Old silver,#848482,132,132,130,Neutral,Summer,139,1
188,User188,56.0,Female,Tablet,Bottom,Food,Drab,#967117,150,113,23,Calm,Monsoon,19,1
2124,User2124,,Male,Desktop,Top,Tech,Vanilla ice,#F38FA9,243,143,169,Neutral,Summer,210,1
7335,User7335,24.0,,Tablet,Side,Sports,Radical Red,#FF355E,255,53,94,Angry,Winter,237,0
5569,User5569,,,Mobile,Bottom,Sports,Daffodil,#FFFF31,255,255,49,Happy,Autumn,70,1
2272,User2272,52.0,,Tablet,Bottom,Home_Decor,Tuscan red,#7C4848,124,72,72,Angry,Summer,8,1
2722,User2722,39.0,,Desktop,Top,Fashion,Frostbite,#E936A7,233,54,167,Angry,Summer,7,1
316,User316,42.0,,Desktop,Top,Home_Decor,Amazonite,#00C4B0,0,196,176,Calm,Autumn,263,1
9789,User9789,36.0,,Tablet,,Home_Decor,Coral Reef,#FD7C6E,253,124,110,Happy,Summer,207,1
4890,User4890,43.0,Male,Tablet,Bottom,Sports,Midnight,#702670,112,38,112,Angry,Summer,244,1
4994,User4994,62.0,,Mobile,,Fashion,Pale violet,#CC99FF,204,153,255,Calm,Autumn,97,0
5055,User5055,45.0,Male,,,Fashion,Giants orange,#FE5A1D,254,90,29,Happy,Autumn,288,1
6724,User6724,37.0,Female,,Top,Fashion,Silver sand,#BFC1C2,191,193,194,Sad,Winter,27,1
8253,User8253,,Non-Binary,Desktop,Bottom,Tech,Guppie green,#00FF7F,0,255,127,Calm,Winter,290,1
4945,User4945,31.0,,Tablet,Top,Fashion,Maximum Purple,#733380,115,51,128,Neutral,Summer,91,1
1729,User1729,26.0,Female,Mobile,Top,Sports,Red-brown,#A52A2A,165,42,42,Happy,Monsoon,55,1
6862,User6862,,Male,Tablet,Side,Tech,Carolina blue,#56A0D3,86,160,211,Angry,Winter,47,1
4985,User4985,37.0,Male,Mobile,Top,Food,Rajah,#FBAB60,251,171,96,Angry,Winter,208,0
7361,User7361,,,Mobile,Top,Home_Decor,Mardi Gras,#880085,136,0,133,Neutral,Monsoon,62,0
1524,User1524,24.0,,Mobile,Bottom,Fashion,Rajah,#FBAB60,251,171,96,Neutral,Monsoon,63,1
2542,User2542,58.0,Non-Binary,Mobile,Side,Food,Japanese carmine,#9D2933,157,41,51,Angry,Autumn,172,1
119,User119,59.0,,Tablet,Top,Fashion,White smoke,#F5F5F5,245,245,245,Happy,Winter,178,1
5881,User5881,26.0,Non-Binary,Tablet,Top,Home_Decor,Palatinate blue,#273BE2,39,59,226,Calm,Spring,211,1
9642,User9642,,Non-Binary,,Bottom,Sports,Teal green,#00827F,0,130,127,Neutral,Spring,115,1
1171,User1171,,,Mobile,,Sports,Light yellow,#FFFFE0,255,255,224,Neutral,Summer,27,1
1612,User1612,40.0,,Mobile,,Home_Decor,Amazon,#3B7A57,59,122,87,Neutral,Winter,237,1
9586,User9586,,,Desktop,,Food,Pale cornflower blue,#ABCDEF,171,205,239,Sad,Spring,279,0
7661,User7661,48.0,,Mobile,Side,Tech,Cadmium red,#E30022,227,0,34,Happy,Winter,176,1
4228,User4228,,,Desktop,Side,Tech,Zomp,#39A78E,57,167,142,Happy,Winter,15,1
5574,User5574,52.0,Female,Desktop,Bottom,Fashion,Dust storm,#E5CCC9,229,204,201,Happy,Spring,64,1
120,User120,,,Desktop,Side,Home_Decor,Lavender mist,#E6E6FA,230,230,250,Happy,Winter,236,0
6143,User6143,,,,Bottom,Home_Decor,Dark puce,#4F3A3C,79,58,60,Happy,Monsoon,239,1
301,User301,,Male,Tablet,Side,Tech,Alloy orange,#C46210,196,98,16,Angry,Summer,7,1
5301,User5301,,Male,,Side,Food,Cool Black,#002E63,0,46,99,Neutral,Autumn,148,1
5439,User5439,38.0,,,,Home_Decor,Nadeshiko pink,#F6ADC6,246,173,198,Angry,Spring,234,1
9806,User9806,58.0,Male,Tablet,Bottom,Sports,Japanese violet,#5B3256,91,50,86,Sad,Autumn,13,1
9888,User9888,49.0,Male,Mobile,Top,Sports,Persian rose,#FE28A2,254,40,162,Calm,Summer,298,1
4525,User4525,,,Mobile,Top,Home_Decor,Blast-off bronze,#A57164,165,113,100,Neutral,Monsoon,197,0
6153,User6153,30.0,,,Side,Food,Radical Red,#FF355E,255,53,94,Sad,Monsoon,295,1
7498,User7498,,Male,,Side,Sports,Grizzly,#885818,136,88,24,Angry,Monsoon,131,1
